Index,subindex,Cluster,Name,Country,MW install,PG,D,WT densi,AreaR_Afarm,Ht,A,Href,Nt,lambda,k,Average wind speed,Nrowscale parameter,Nturb_effective,Nturb_frontal_area,CF,Wind farm density,Year production TWh/year,Source power,Coordinates,k_ref,A_ref,A_h,lat,lon,lat2,lon2,Area,Nwt_rows,Nwt_row_wf_neighbors,Cf_Free,Cf_Inf,Cf_Model,U_Free,U_Inf,U_Model,G_Model,U_rated,Phi_Model,Phi_Model_redo,Phi_Model_a5p3,Cf_Model_redo,Cf_Model_a5p3
20,0,2,Global Tech I,DE,400.0,5.0,116.0,473,0.0206,82.0,41.0,100,80,11.22,2.4,9.94632924896539,2.5,80,7.0,34.4463470319635,9.76,1.21,Germany 2nd table sheet,54°30′0″N 6°21′30″E,2.4224939346313477,11.266522700567966,11.104686335802407,54.5,6.358333333333333,54.50845,6.36475875,39.6769231528279,14.516,9.3866,0.555779991505097,0.33613725073381495,0.3841841002775329,9.94632924896539,7.399012785780549,7.956238242791869,12.23459003216235,11.885936523719385,1.504490518664595,1.4718859494293488,1.349026347224818,0.40056533043768106,0.46628831700298706
21,0,2,Albatros,DE,112.0,7.0,154.0,376,0.0271,105.0,11.0,100,16,11.22,2.4,9.94632924896539,2.5,16,2.0,40.2346298108284,10.18,0.39,Germany 2nd table sheet,54°29′1″N 6°15′8″E,2.4170103073120117,11.256434886912599,11.296187547792613,54.48361111111111,6.252222222222223,54.48715,6.2435937500000005,10.172046081156815,5.610661066106611,4.307030703070308,0.6091665092040003,0.41240119999593683,0.4738903591234566,9.94632924896539,7.5974232979626555,8.331456382459114,12.00268244171142,11.007810150154741,1.3354688811982558,1.2133531072349208,1.1067208690381698,0.5448190481300387,0.6091665092040003
22,0,2,Hohe See,DE,497.0,7.0,154.0,376,0.0315,105.0,42.0,100,71,11.22,2.4,9.94632924896539,2.5,71,9.0,37.6172560477017,11.83,1.64,Germany sheet,54°26′0″N 6°19′0″E,2.4210805892944336,11.250337653004845,11.290068781199396,54.43333333333333,6.316666666666666,54.439228169014086,6.332674647887325,40.33233849566383,19.10987802439512,15.827834433113376,0.6091665092040003,0.3506844734348151,0.4325977946292752,9.94632924896539,6.991583901610568,7.927946838253765,12.00268244171142,11.007810150154741,1.4106026902960698,1.2988203876979545,1.266832621189428,0.494741194071743,0.5132681951172576
23,0,3,Deutsche Bucht,DE,252.0,8.4,167.0,383,0.03,100.0,22.6,100,31,11.2,2.4,9.92859960681037,2.5,31,7.0,42.8082191780822,11.15,0.95,Germany 2nd table sheet,54°18′18″N 5°47′56″E,2.3926382064819336,11.205308854121267,11.205308854121267,54.305,5.7988888888888885,54.30402258064515,5.789470967741933,16.963182615769423,6.967700000000001,6.1508,0.6034002524723624,0.3676684414246788,0.5174342792499835,9.92859960681037,7.203893881131297,8.742034163862986,12.024930668205593,11.08232407558059,1.2884036179299845,1.3165535333345275,1.1348679207243584,0.5007523247548424,0.611798910695647
24,0,3,Veja Mate,DE,402.0,6.0,154.0,322,0.0244,103.3,51.2,100,67,11.22,2.4,9.94632924896539,2.5,67,6.0,42.7561583255715,7.85,1.51,Germany 2nd table sheet,54°19′00″N 5°52′0″E,2.3953657150268555,11.209750278807439,11.23609379265508,54.31666666666667,5.866666666666667,54.31851194029851,5.874702985074626,53.14526526528691,14.576842315768422,10.138686131386862,0.6429036660041635,0.4239364301290509,0.47295894562347907,9.94632924896539,7.328202364416855,7.914350156229511,12.017730226290617,10.456475740462032,1.3371239928559144,1.2779898981918854,1.1784569657216668,0.506773746457227,0.5657172894862732
25,0,3,BARD,DE,400.0,5.0,122.0,428,0.0166,90.0,56.3,100,80,11.22,2.4,9.94632924896539,2.5,80,6.0,37.8139269406393,7.1,1.33,Germany sheet,54°21′18″N 5°58′48″E,2.3972558975219727,11.215347457359458,11.12981643145699,54.355000000000004,5.98,54.3568925,5.9823375,56.70319860820733,19.4884,12.7102,0.5795669994996494,0.3909657647994807,0.42632849630576236,9.94632924896539,7.708860016734925,8.128385481768182,12.146261933282025,11.492967509736175,1.4223653552097892,1.349763124116317,1.2849787460536433,0.46587699646467085,0.5027229378784226
26,0,4,Gode 1 and 2,DE,582.0,6.0,154.0,322,0.0246,104.0,73.3,100,97,11.15,2.4,9.88427550142282,2.5,97,8.0,38.1021871630543,7.94,1.94,Germany sheet,54°03′00″N 07°01′00″E,2.4767274856567383,11.127989222142315,11.159580358164636,54.05,7.016666666666667,54.04280618556702,6.992953608247423,73.95241446346985,15.848369673934787,14.158131626325268,0.6388894116786853,0.41232277870111717,0.45903754838721367,9.884275501422824,7.216148887571132,7.766278069721081,11.93181305598337,10.456475740462032,1.362064839315742,1.298375249501029,1.2311540755459653,0.4949970109647703,0.5342458665298525
27,0,4,Nordsee One,DE,332.0,6.2,126.0,497,0.0163,90.0,41.3,100,54,11.15,2.4,9.88427550142282,2.5,54,9.0,37.0454420421412,8.04,1.08,Germany 2nd table sheet,53°58′44″N 6°48′50″E,2.455206871032715,11.093007939494159,11.008409905147344,53.97888888888889,6.813888888888889,53.98085,6.816551851851852,27.074879259846746,12.3781,10.3262,0.5393134983616913,0.35786250485250143,0.43712283198539,9.884275501422824,7.751315653152534,8.640048887896763,12.065684476453889,12.084599570073625,1.4089798767656225,1.388350415685845,1.309306833036811,0.4483575451410354,0.49285380973837606
28,0,4,Borkum Riffgrund I,DE,312.0,4.0,120.0,354,0.0245,83.0,36.0,100,78,11.22,2.4,9.94632924896539,2.5,78,2.0,33.4782226905515,8.67,0.92,Germany sheet,53°58′01″N 6°33′14″E,2.43814754486084,11.108186505630611,10.958370565250947,53.966944444444444,6.553888888888888,53.96736025641025,6.554132051282052,35.67591775261249,14.000000000000004,2.1783,0.6226581587242108,0.3856450410645391,0.40083818963246676,9.94632924896539,7.184169530225032,7.36123104502253,12.22301841414233,10.787344897088644,1.471350685094991,1.4686972676964392,1.2419300879555673,0.4021926588272975,0.5278782313205794
29,0,4,Borkum Riffgrund II,DE,450.0,8.0,164.0,379,0.0329,105.0,36.0,100,56,11.22,2.4,9.94632924896539,2.5,56,9.0,33.2825976661593,12.5,1.31,Germany sheet,53°58′0″N 6°29′44″E,2.4345293045043945,11.110177681205927,11.149413827473799,53.96666666666667,6.495555555555556,53.951166071428574,6.496183928571428,81.60128021261824,15.712599999999998,14.083599999999997,0.6074354555513718,0.3476425933717208,0.45001466005081797,9.94632924896539,6.980300477887041,8.172008433877155,12.00268244171142,11.03611358406523,1.3747832679226573,1.2707525037529865,1.2355605868752118,0.5087116820142167,0.529276045794775
